query	entity	predicate	sparql_query
Who was the coach of marquette Golden Eagles men's basketball team-2012,13 season ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/2012–13_Marquette_Golden_Eagles_men's_basketball_team> <http://dbpedia.org/ontology/coach> ?uri } 
List the ingredient of Blodpalt ?	Blodpalt	ingredient	7.640244936222345	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Blodpalt> <http://dbpedia.org/ontology/ingredient> ?uri } 
Who composed the music for Tonight's the Night ?	Tonight	isPrimaryTopicOf	0.022118404650623355	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonight's_the_Night_(2003_musical)> <http://dbpedia.org/property/music> ?uri } 
Name the source of Raa ?	RAA	isPrimaryTopicOf	-0.027451825319585524	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Raša_(river)> <http://dbpedia.org/ontology/source> ?uri } 
Who is the producer of  Frampton's Camel ?	Tupolev_Tu-104	related	3.2564083179697922	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri } 
Name the directors of Lennon Legend: The Very Best of John Lennon (DVD) ?	Lennon_Legend:_The_Very_Best_of_John_Lennon	cover	2.442418023897968	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lennon_Legend:_The_Very_Best_of_John_Lennon_(DVD)> <http://dbpedia.org/ontology/director> ?uri } 
To which country is Svetlana Navasardyan from?	Svetlana_Navasardyan	hometown	2.220140857174567	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Svetlana_Navasardyan> <http://dbpedia.org/property/origin> ?uri } 
Who is the owner of  Chelsea F.C. ?	FC	isPrimaryTopicOf	0.041145569244053645	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chelsea_F.C.> <http://dbpedia.org/property/owner> ?uri } 
In which country is Sierra del Merendin?	Sierra_del_Lacandón	period	3.730549032857342	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sierra_del_Merendón> <http://dbpedia.org/ontology/country> ?uri  . }
Which is the university of Vanderbilt Commodores ?	Vanderbilt_Commodores	university	6.640244936222343	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Vanderbilt_Commodores> <http://dbpedia.org/ontology/university> ?uri } 
Where was  William Anthony  trained ?	William_Anthony	wordnet_type	0.32745612300374405	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Anthony_(artist)> <http://dbpedia.org/ontology/training> ?uri } 
What is the municipality of Homestead Grays Bridge ?	Homestead_Grays_Bridge	municipality	6.318316841334982	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Homestead_Grays_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } 
Who is the narrator of The Incredible Hulk , 1982 TV series ?	Tv_test_pattern	isPrimaryTopicOf	0.04377826604872076	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Incredible_Hulk_(1982_TV_series)> <http://dbpedia.org/property/narrated> ?uri } 
What is the content licence of MSX BASIC ?	MSX	reason	3.53797162313227	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/MSX_BASIC> <http://dbpedia.org/property/license> ?uri } 
What are the central characters in spy kids series?			-inf	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/series> <http://dbpedia.org/resource/Spy_Kids_(franchise)>  . }
who owns the ship Victoria?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Victoria_(ship)> <http://dbpedia.org/ontology/owner> ?uri } 
What is the purpose of New Zealand Chess Federation ?	New_Zealand_Chess_Federation	purpose	8.640244936222343	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/New_Zealand_Chess_Federation> <http://dbpedia.org/property/purpose> ?uri } 
Who operates twin Cities 400 ?	Twin_Cities_400	operator	2.8633952704046326	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Twin_Cities_400> <http://dbpedia.org/ontology/operatedBy> ?uri } 
Which are the countires where Pioneer Corporation has flourished?	Coutières	term	3.3242831258600227	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pioneer_Corporation> <http://dbpedia.org/property/country> ?uri } 
What is the currency of Kerguelen Islands ?	Kerguelen_Islands	currency	4.470319934780031	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kerguelen_Islands> <http://dbpedia.org/ontology/currency> ?uri } 
Who is the leader of Hackweiser ?	Hackweiser	size	2.5370474956982934	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hackweiser> <http://dbpedia.org/property/leaderName> ?uri } 
What is the relegious affiliations of Katyayana ?	Smithsonian_Affiliations	established	2.604510952104331	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Katyayana_(Buddhist)> <http://dbpedia.org/property/religion> ?uri } 
who all have been a manager of english under twenty one football team?	England_national_under-21_football_team	team	2.5526113973702134	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/managerclubs> <http://dbpedia.org/resource/England_national_under-21_football_team> } 
What is the serving railway line of Warwick railway station, Perth ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Warwick_railway_station,_Perth> <http://dbpedia.org/ontology/servingRailwayLine> ?uri } 
which movies have been published by Cinema International Corporation?	Cinema_International_Corporation	studio	1.9152670135170233	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/distributor> <http://dbpedia.org/resource/Cinema_International_Corporation> } 
Where was Special 26 recorded ?	Special_26	music	4.040236370934348	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Special_26> <http://dbpedia.org/property/recorded> ?uri } 
To which nation did David Animle Hanses owe his allegiance?	David_Animle_Hansen	allegiance	7.640244936222344	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Animle_Hansen> <http://dbpedia.org/property/allegiance> ?uri } 
Who directed The Haunted House ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Haunted_House_(1929_film)> <http://dbpedia.org/ontology/director> ?uri } 
What is the birth name  of Putri Raemawasti ?	Putri_Raemawasti	before	2.9099161142779097	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Putri_Raemawasti> <http://dbpedia.org/property/birthName> ?uri } 
Who was the United States president who also served as a governor of Indiana Territory?	Jimmy_Carter	governor	7.055282435501188	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/branch> <http://dbpedia.org/resource/Indiana_Territory> } 
Who designed the language integrated query?	Language_Integrated_Query	designer	2.6622558740525344	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Language_Integrated_Query> <http://dbpedia.org/ontology/designer> ?uri  . }
Name the debut team of Dan Otero ?	Dan_Otero	teams	5.40216538912304	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Dan_Otero> <http://dbpedia.org/ontology/debutTeam> ?uri } 
Who founded the Not on our Watch NGO?	Not_on_Our_Watch	publisher	2.07212404004406	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Not_on_Our_Watch_(organization)> <http://dbpedia.org/ontology/foundedBy> ?uri } 
Which company owns Sony bank ?	Sony_Bank	industry	3.2917004089897084	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sony_Bank> <http://dbpedia.org/ontology/owningCompany> ?uri } 
Who is the writer of mark twain Tonight ?	Mark_Twain_Tonight	author	4.832745603399714	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Mark_Twain_Tonight> <http://dbpedia.org/property/writer> ?uri } 
To which political party does Virendra Kataria belongs ?	Virendra_Kataria	party	4.733354340613825	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Virendra_Kataria> <http://dbpedia.org/property/party> ?uri } 
Who is the narrator of The Price of Beauty ?	The_Price_of_Beauty	narrator	7.640244936222344	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Price_of_Beauty> <http://dbpedia.org/ontology/narrator> ?uri } 
Who operates Liverpool Playhouse ?	Liverpool_Playhouse	operator	2.8633952704046326	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Liverpool_Playhouse> <http://dbpedia.org/ontology/operatedBy> ?uri } 
To which series does Lost special belong to ?	We_Belong	recorded	2.842654165404988	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Lost_Special> <http://dbpedia.org/property/series> ?uri } 
Where Everybody knows you is the theme album of which show ?	Everybody	isPrimaryTopicOf	0.029508682289762403	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Where_Everybody_Knows_Your_Name> <http://dbpedia.org/ontology/album> ?uri } 
Alexander Magleby, a rugby player is alma mater to which university?	Alexander_Magleby	university	6.640244936222342	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alexander_Magleby> <http://dbpedia.org/property/university> ?uri } 
List the companies operating in Australia?	Australia	operations	6.0200659595588855	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/regionServed> <http://dbpedia.org/resource/Australia> } 
Who edited  British Gazette ?	British_Gazette	editor	3.1381045440190767	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/British_Gazette> <http://dbpedia.org/property/editor> ?uri } 
What are the notableworks of Russell T Davies?	Nobleworks	origins	2.498559975908249	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/property/notableworks> ?uri } 
List the director of The Adventures of mimi ?	Mimi	isPrimaryTopicOf	0.028177290539626074	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_Adventures_of_Mimi_(video)> <http://dbpedia.org/property/director> ?uri } 
To which country does Peter Blay owe his allegiance?	Peter_Blay	allegiance	7.640244936222344	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Peter_Blay> <http://dbpedia.org/property/allegiance> ?uri } 
What are the current music bands of Chester Bennington?	Chester_Bennington	producer	2.1411441505663027	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentMembers> <http://dbpedia.org/resource/Chester_Bennington> } 
Which driver had the pole position in 1994 Spanish Grand Prix ?	1994_Spanish_Grand_Prix	year	3.295895862636798	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/ontology/poleDriver> ?uri } 
Who all are known to play the Gibson Guitar Corporation?	Gibson_Guitar_Corporation	endorsement	1.9834280143254714	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/notableInstruments> <http://dbpedia.org/resource/Gibson_Guitar_Corporation> } 
Name the partners of Kelly Brook?	Kelly_Brook	partner	5.587334059024035	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kelly_Brook> <http://dbpedia.org/ontology/partner> ?uri } 
Who is married to Gerard Piqu?	Gerard_Piqué	partner	2.5422876300957986	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Gerard_Piqué>  . }
What are the nicknames given to the characters of The Wolves of the Mercy Falls?	List_of_The_Wolves_of_Mercy_Falls_characters	last	4.535319354299328	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/List_of_The_Wolves_of_Mercy_Falls_characters> <http://dbpedia.org/property/nickname> ?uri } 
what is the headquarters of Juan Dalmau Ramerez?	Juan_Dalmau_Ramírez	organization	4.168726407240214	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri } 
What is the religious affiliation of Neungin High School?	Neungin_High_School	religion	3.8097919396600775	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Neungin_High_School> <http://dbpedia.org/property/religiousAffiliation> ?uri } 
Who is the owner of the South end ?	Southend_Pier	open	4.076335728274364	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/The_South_End> <http://dbpedia.org/property/owners> ?uri } 
What is the colour of Xocolatlite ?	Xocolatlite	colour	7.055282435501187	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xocolatlite> <http://dbpedia.org/ontology/colour> ?uri } 
What developed EMMS?	EMMS	developer	3.5384337423835377	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/EMMS> <http://dbpedia.org/ontology/developer> ?uri } 
In which time zone is Pong Pha?	Pong_Pha	point	1.4294740976742328	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pong_Pha> <http://dbpedia.org/ontology/timeZone> ?uri } 
What honours did Reigh Count receive?	Reigh_Count	honours	8.64024493622234	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Reigh_Count> <http://dbpedia.org/ontology/honours> ?uri } 
In which city wasThe Triple Door (The Courage album)  performed live?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_at_The_Triple_Door_(The_Courage_album)> <http://dbpedia.org/property/recorded> ?uri } 
List the battles fought by  Ali Habib Mahmud ?	Ali_Habib_Mahmud	battle	5.084585895415674	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ali_Habib_Mahmud> <http://dbpedia.org/property/battles> ?uri } 
Name the local authority of Trinity School, Brentwood ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Trinity_School,_Brentwood> <http://dbpedia.org/ontology/localAuthority> ?uri } 
Name the president of Wyche Fowler ?	Wyche_Fowler	president	5.3183168413349815	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Wyche_Fowler> <http://dbpedia.org/ontology/president> ?uri } 
To which educational institute does Cornell University Press belong to?	Cornell_University_Press	publications	4.256306258379471	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Cornell_University_Press> <http://dbpedia.org/ontology/parentCompany> ?uri } 
Philadelphia City Council is the governing body of which city?	Philadelphia_City_Council	presenter	1.409351359063892	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/governingBody> <http://dbpedia.org/resource/Philadelphia_City_Council> } 
What are the binomial authority of Menetries's warbler?	Cyprus_warbler	binomial	8.640244936222343	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri } 
Which state does Jerome B. Chaffee belong ?	B	character	2.5345249293152077	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerome_B._Chaffee> <http://dbpedia.org/property/state> ?uri } 
Name  the Pole driver of 1994 Spanish Grand Prix ?	Spanish_Grand_Prix	third	4.430103862675888	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } 
What is Naval Support Activity Naples a part of?	Naval_Support_Activity_Naples	ownership	3.0781180116173616	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Naval_Support_Activity_Naples> <http://dbpedia.org/ontology/type> ?uri } 
What is the successor of PlayStation 4	PlayStation_4	use	4.108825350099102	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/successor> <http://dbpedia.org/resource/PlayStation_4>  . }
What is the location country of Teperberg 1870 ?	Teperberg_1870	location	2.8073549220576033	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri } 
What type of engines are utilised by Purvis Eureka?	Purvis_Eureka	engine	5.421803200203305	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Purvis_Eureka> <http://dbpedia.org/property/engine> ?uri } 
Who edited Easy street ?	Easy_street	isPrimaryTopicOf	0.013500613264876733	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Easy_Street_(film)> <http://dbpedia.org/ontology/editing> ?uri } 
List the territory of Tonkin Campaign ?	Tonkin_Campaign	territory	6.640244936222346	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri } 
For which teams did Ryan Powell play for?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri } 
Name the club of Julie Hastings ?	Julie_Hastings	club	6.055282435501186	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julie_Hastings> <http://dbpedia.org/ontology/club> ?uri } 
From where does the river Upper Neretva start flowing?	Upper_Neretva	building	4.3490151770720775	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri } 
By what style was Providence Chapel, Charlwood made?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri } 
list some companies founded by Jim Harris.	Jim_Harris	primaryTopic	0.39791918141349425	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/foundedBy> <http://dbpedia.org/resource/Jim_Harris_(entrepreneur)> } 
Where was david Scherman trained ?	David_Scherman	training	4.663173583927299	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/property/training> ?uri } 
Which nationalist group was responsible for foundation of Young Lords?	Young_Lords	ideology	5.541520277962554	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Young_Lords> <http://dbpedia.org/property/international> ?uri } 
Count all the stateless people			-inf	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/citizenship> <http://dbpedia.org/resource/Statelessness>  . }
Josef Bhler belongs to which political party?	Josef_Bühler	cause	4.537282404854441	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Josef_Bühler> <http://dbpedia.org/ontology/occupation> ?uri } 
What novels are belong to the genre of Utopian and dystopian fiction?	Utopian_and_dystopian_fiction	genres	7.43848992209676	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/literaryGenre> <http://dbpedia.org/resource/Utopian_and_dystopian_fiction> } 
What is the largest city of Pulau Ubin ?	Pulau_Ubin	website	2.410423507318195	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Pulau_Ubin> <http://dbpedia.org/ontology/largestCity> ?uri } 
How many apes are there?			-inf	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }
Name the appointer of William Clark ?	William_Clark	appointer	6.640244936222343	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Clark> <http://dbpedia.org/property/appointer> ?uri } 
in which movies have momoki kochi acted	Kochi	cities	3.2673717459153777	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Momoko_Kōchi> } 
Music of how many things has been given by Akira Ifukube?	Akira_Ifukube	writer	1.6493918360825364	SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/music> <http://dbpedia.org/resource/Akira_Ifukube>  . }
Name the awards won by Elie Wiesel ?	Elie_Wiesel	award	4.684176574359708	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Elie_Wiesel> <http://dbpedia.org/property/awards> ?uri } 
Who are the producers of Marie Sisters?	Marie_Sisters	cover	2.442418023897968	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marie_Sisters> <http://dbpedia.org/property/producer> ?uri } 
What is the origin of Xynisteri?	Xynisteri	origin	6.640244936222343	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Xynisteri> <http://dbpedia.org/ontology/origin> ?uri } 
Who are currently playing for Barcelona FC?	Barcelona	houses	3.5872139700930106	 SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/currentclub> <http://dbpedia.org/resource/FC_Barcelona> } 
Who is the owner of Saumarez ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saumarez_(horse)> <http://dbpedia.org/ontology/owner> ?uri } 
Name the alma mater of Ernest de Saisset ?	Ernest_de_Saisset	country	1.1682353543313735	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ernest_de_Saisset> <http://dbpedia.org/ontology/almaMater> ?uri } 
Where does John A Danaher III work?	A	character	2.5345249293152077	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/John_A._Danaher_III> <http://dbpedia.org/property/office> ?uri } 
Where was Live in Detroit, MI recorded ?	MI	isPrimaryTopicOf	0.024636351270601407	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Live_in_Detroit,_MI> <http://dbpedia.org/ontology/recordedIn> ?uri } 
What are some apes?			-inf	SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/family> <http://dbpedia.org/resource/Ape>  . }
Name the municipality of Roberto Clemente Bridge ?	Roberto_Clemente_Bridge	municipality	6.318316841334982	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Roberto_Clemente_Bridge> <http://dbpedia.org/ontology/municipality> ?uri } 
List all the notable works of  Russell T Davies?	T	character	1.9302070278590695	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri } 
What is the launch site of Aquarius (rocket) ?			-inf	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Aquarius_(rocket)> <http://dbpedia.org/ontology/launchSite> ?uri } 
Who is the music composer of Kenny Dies ?	Kenny_Dies	writer	2.711338627607652	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenny_Dies> <http://dbpedia.org/ontology/musicComposer> ?uri } 
What is the programme format of WWTR ?	WWTR	power	3.4208135791917456	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WWTR> <http://dbpedia.org/ontology/programmeFormat> ?uri } 
list the founders of Bream Bay ?	Bream_Bay	founder	4.290084887377325	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bream_Bay> <http://dbpedia.org/property/founder> ?uri } 
Where is Denver Broncos located ?	Denver_Broncos	current	2.9149048395742416	 SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri } 
